                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                 1.5861,                0.92059,                 2.0267,                0.79389,                0.85209,                0.84009,                0.66787,                 1.4173,                0.54764,                 1.9302,              0.0048526,              0.0048526,              0.0048526
                    105,                 1.5855,                0.91467,                 2.0292,                0.78406,                0.85305,                0.83929,                0.66854,                 1.4158,                0.54835,                 1.9293,              0.0048026,              0.0048026,              0.0048026
                    106,                 1.6095,                0.93658,                 2.0406,                 0.7899,                0.85385,                0.84085,                0.67068,                 1.4144,                0.54704,                 1.9289,              0.0047526,              0.0047526,              0.0047526
                    107,                  1.622,                0.92876,                 2.0408,                0.77919,                0.85374,                0.84257,                0.66987,                 1.4129,                0.54669,                 1.9277,              0.0047027,              0.0047027,              0.0047027
                    108,                 1.6607,                0.96994,                 2.0606,                0.79998,                0.85352,                0.83735,                0.66633,                  1.411,                0.54572,                 1.9271,              0.0046527,              0.0046527,              0.0046527
                    109,                 1.7066,                 1.0037,                 2.0947,                0.80264,                0.85363,                 0.8357,                0.66665,                 1.4097,                0.54497,                 1.9253,              0.0046027,              0.0046027,              0.0046027
                    110,                 1.7397,                 1.0275,                 2.0981,                0.79876,                0.85403,                0.84104,                0.67154,                 1.4078,                0.54318,                 1.9243,              0.0045527,              0.0045527,              0.0045527
                    111,                 1.7423,                 1.0291,                 2.1015,                0.79651,                0.85407,                0.84217,                0.67352,                 1.4057,                0.54119,                 1.9228,              0.0045027,              0.0045027,              0.0045027
                    112,                 1.7479,                 1.0336,                 2.1079,                0.79932,                0.85407,                0.84268,                0.67399,                 1.4035,                0.53932,                 1.9211,              0.0044528,              0.0044528,              0.0044528
                    113,                 1.7296,                 1.0241,                 2.0924,                0.80108,                0.85029,                0.85078,                 0.6811,                 1.4012,                0.53934,                 1.9198,              0.0044028,              0.0044028,              0.0044028
                    114,                 1.7413,                 1.0267,                 2.1127,                0.79932,                0.84701,                0.85238,                0.68179,                 1.3983,                 0.5392,                 1.9188,              0.0043528,              0.0043528,              0.0043528
                    115,                 1.7398,                  1.024,                 2.1027,                0.80091,                0.84904,                 0.8527,                0.68196,                 1.3965,                0.53714,                 1.9178,              0.0043029,              0.0043029,              0.0043029
                    116,                 1.7419,                 1.0376,                 2.1034,                0.78045,                0.85501,                0.85403,                0.68221,                 1.3935,                0.53618,                 1.9164,              0.0042529,              0.0042529,              0.0042529
                    117,                 1.7133,                 1.0082,                 2.0874,                0.77605,                 0.8549,                0.84588,                0.67653,                 1.3912,                0.53394,                 1.9154,              0.0042029,              0.0042029,              0.0042029
                    118,                 1.7168,                 1.0207,                 2.0924,                0.76959,                0.85562,                0.84622,                0.67691,                 1.3891,                0.53362,                 1.9144,              0.0041529,              0.0041529,              0.0041529
                    119,                  1.721,                 1.0103,                 2.0919,                0.79145,                0.88221,                0.84777,                0.67681,                 1.3862,                0.53232,                 1.9133,               0.004103,               0.004103,               0.004103
                    120,                 1.7185,                 1.0128,                 2.0888,                0.79391,                0.88594,                  0.848,                0.67861,                 1.3836,                0.53139,                 1.9117,               0.004053,               0.004053,               0.004053
                    121,                 1.6903,                0.99195,                 2.0833,                0.77523,                0.89112,                0.84632,                0.67694,                 1.3811,                0.53035,                 1.9109,               0.004003,               0.004003,               0.004003
                    122,                 1.6976,                 1.0063,                 2.0786,                0.77639,                0.89126,                0.84599,                0.67627,                 1.3792,                 0.5292,                 1.9097,               0.003953,               0.003953,               0.003953
                    123,                 1.6607,                0.96266,                 2.0576,                0.77875,                0.89123,                0.84599,                0.67591,                 1.3762,                0.52822,                 1.9076,              0.0039031,              0.0039031,              0.0039031
                    124,                 1.6777,                0.97875,                 2.0728,                0.78091,                0.89104,                0.84889,                 0.6789,                 1.3733,                0.52766,                 1.9062,              0.0038531,              0.0038531,              0.0038531
                    125,                 1.6668,                0.97523,                 2.0608,                0.77881,                0.89104,                0.84947,                0.68009,                 1.3706,                0.52735,                 1.9044,              0.0038031,              0.0038031,              0.0038031
                    126,                 1.6548,                0.96604,                 2.0535,                0.76997,                0.89093,                0.84957,                0.67948,                 1.3684,                0.52805,                 1.9032,              0.0037531,              0.0037531,              0.0037531
                    127,                 1.6362,                 0.9627,                 2.0566,                0.76875,                0.89104,                0.85224,                0.67795,                 1.3662,                0.52702,                 1.9021,              0.0037032,              0.0037032,              0.0037032
                    128,                  1.662,                0.96632,                 2.0588,                 0.7644,                0.89111,                0.85215,                0.67836,                 1.3638,                0.52561,                 1.9005,              0.0036532,              0.0036532,              0.0036532
                    129,                 1.6335,                0.94439,                  2.054,                 0.7716,                0.89104,                0.85251,                0.67936,                 1.3615,                 0.5252,                 1.8988,              0.0036032,              0.0036032,              0.0036032
                    130,                 1.6482,                0.95471,                 2.0555,                0.75402,                0.89126,                0.85293,                0.68019,                 1.3593,                0.52557,                 1.8975,              0.0035532,              0.0035532,              0.0035532
                    131,                 1.6236,                0.95724,                 2.0521,                0.89971,                0.78247,                0.85027,                0.68067,                 1.3569,                0.52406,                 1.8962,              0.0035032,              0.0035032,              0.0035032
                    132,                 1.6206,                0.95432,                 2.0523,                0.89509,                0.78313,                0.85333,                 0.6801,                 1.3545,                0.52402,                 1.8945,              0.0034533,              0.0034533,              0.0034533
                    133,                 1.6142,                0.94579,                 2.0489,                 0.8934,                0.78329,                0.85355,                0.68741,                 1.3523,                 0.5229,                 1.8933,              0.0034033,              0.0034033,              0.0034033
                    134,                 1.6052,                0.93971,                 2.0403,                0.89359,                0.78367,                0.85321,                0.68836,                 1.3505,                0.52128,                 1.8926,              0.0033533,              0.0033533,              0.0033533
                    135,                 1.5881,                0.92397,                 2.0321,                0.89424,                0.78313,                0.85289,                0.69018,                  1.348,                0.52231,                 1.8914,              0.0033034,              0.0033034,              0.0033034
                    136,                 1.5885,                0.92968,                 2.0299,                0.88717,                0.78324,                 0.8527,                0.68339,                 1.3453,                0.52137,                 1.8899,              0.0032534,              0.0032534,              0.0032534
                    137,                 1.5776,                0.91707,                 2.0299,                0.88595,                0.78267,                0.85295,                0.68416,                 1.3433,                0.51901,                 1.8879,              0.0032034,              0.0032034,              0.0032034
                    138,                 1.5839,                0.93364,                 2.0276,                 0.8246,                0.81782,                0.85996,                0.68755,                 1.3414,                0.51816,                 1.8867,              0.0031534,              0.0031534,              0.0031534
                    139,                 1.5747,                0.91053,                 2.0179,                0.81866,                0.81843,                0.85981,                0.68717,                  1.339,                0.51669,                 1.8853,              0.0031035,              0.0031035,              0.0031035
                    140,                  1.575,                 0.9268,                  2.028,                0.90715,                0.80979,                0.86802,                0.69409,                 1.3368,                0.51539,                 1.8839,              0.0030535,              0.0030535,              0.0030535
                    141,                 1.5614,                0.89447,                 2.0193,                0.90833,                0.81766,                0.87061,                0.69589,                 1.3347,                0.51343,                 1.8829,              0.0030035,              0.0030035,              0.0030035
                    142,                 1.5416,                0.89374,                 2.0126,                0.90162,                0.81723,                  0.871,                0.69475,                 1.3326,                 0.5139,                 1.8819,              0.0029535,              0.0029535,              0.0029535
                    143,                 1.5442,                0.90034,                 2.0122,                0.89669,                0.81712,                0.87092,                0.69519,                 1.3306,                0.51335,                 1.8809,              0.0029036,              0.0029036,              0.0029036
                    144,                 1.5333,                0.88326,                 2.0126,                0.89751,                0.81701,                0.87115,                0.69763,                  1.329,                 0.5128,                 1.8798,              0.0028536,              0.0028536,              0.0028536
